candidate,day,tweet_count,retweet_count,like_count,reply_count
jadot,2022-01-12,44,2387,7114,705
jadot,2022-01-13,31,1597,4101,398
jadot,2022-01-14,42,2153,5124,415
jadot,2022-01-15,22,709,1648,174
jadot,2022-01-16,93,5015,12986,2150
jadot,2022-01-17,39,1921,6108,709
jadot,2022-01-18,46,2403,7060,780
jadot,2022-01-19,228,15306,49142,5259
jadot,2022-01-20,86,4013,11489,862
jadot,2022-01-21,28,1555,4465,593
jadot,2022-01-22,30,1569,4731,338
jadot,2022-01-23,89,5139,12164,1283
jadot,2022-01-24,35,1405,3484,234
jadot,2022-01-25,128,5695,14884,1873
jadot,2022-01-26,51,2480,6702,760
jadot,2022-01-27,27,1879,4596,531
jadot,2022-01-28,80,5381,17780,2154
jadot,2022-01-29,149,7332,18346,1516
jadot,2022-01-30,76,3303,9826,1077
jadot,2022-01-31,53,2699,7992,1063
jadot,2022-02-01,46,2040,6093,688
jadot,2022-02-02,94,4566,10939,1175
jadot,2022-02-03,49,2102,6418,393
jadot,2022-02-04,53,2545,9255,803
jadot,2022-02-05,40,1672,5165,405
jadot,2022-02-06,70,3690,9657,1728
jadot,2022-02-07,27,1253,2862,225
jadot,2022-02-08,87,3585,10002,1536
jadot,2022-02-09,70,3347,8450,1164
jadot,2022-02-10,63,2772,7893,1127
jadot,2022-02-11,57,3367,9825,2099
jadot,2022-02-12,24,912,3799,260
jadot,2022-02-13,78,6415,20413,3630
jadot,2022-02-14,82,10335,35010,3425
jadot,2022-02-15,152,10511,27852,4851
jadot,2022-02-16,48,3321,8727,805
jadot,2022-02-17,160,10888,25538,2104
jadot,2022-02-18,48,2735,7588,771
jadot,2022-02-19,46,2593,7190,596
jadot,2022-02-20,35,1561,5791,997
jadot,2022-02-21,58,3951,9243,1126
jadot,2022-02-22,105,6170,16580,2943
jadot,2022-02-23,109,4898,11574,1844
jadot,2022-02-24,81,8842,23693,4552
jadot,2022-02-25,62,4417,13196,1227
jadot,2022-02-26,60,4502,11688,1271
jadot,2022-02-27,56,5475,12327,904
jadot,2022-02-28,55,4181,10078,906
jadot,2022-03-01,53,2868,6824,565
jadot,2022-03-02,52,2732,6513,682
jadot,2022-03-03,61,3044,11201,946
jadot,2022-03-04,63,3292,8968,1600
jadot,2022-03-05,34,2865,8342,1044
jadot,2022-03-06,28,2056,5910,585
jadot,2022-03-07,116,6988,15544,2704
jadot,2022-03-08,59,3116,6930,745
jadot,2022-03-09,41,2054,5356,513
jadot,2022-03-10,79,5041,13843,1517
jadot,2022-03-11,76,5014,15441,3296
jadot,2022-03-12,47,2218,4893,667
jadot,2022-03-13,79,6685,18597,1267
lassale,2022-01-03,2,860,3460,191
lassale,2022-01-04,1,242,915,72
lassale,2022-01-05,2,285,481,43
lassale,2022-01-06,1,331,1494,103
lassale,2022-01-07,2,249,746,61
lassale,2022-01-08,2,77,324,25
lassale,2022-01-10,1,143,485,24
lassale,2022-01-11,2,54,477,39
lassale,2022-01-13,4,1708,7260,258
lassale,2022-01-14,2,212,565,199
lassale,2022-01-15,1,22,42,3
lassale,2022-01-16,2,45,105,36
lassale,2022-01-17,1,125,389,35
lassale,2022-01-21,2,1266,4739,184
lassale,2022-01-22,1,37,120,2
lassale,2022-01-25,2,129,1149,84
lassale,2022-01-26,1,62,161,22
lassale,2022-01-28,1,18,14,0
lassale,2022-01-30,2,73,229,28
lassale,2022-02-01,6,358,1017,96
lassale,2022-02-02,1,45,155,15
lassale,2022-02-04,4,256,573,89
lassale,2022-02-05,3,231,550,49
lassale,2022-02-06,1,40,142,5
lassale,2022-02-08,1,35,118,9
lassale,2022-02-09,6,684,2954,132
lassale,2022-02-10,2,67,107,45
lassale,2022-02-12,1,38,156,6
lassale,2022-02-14,1,32,108,19
lassale,2022-02-15,9,230,579,70
lassale,2022-02-16,5,1102,2913,280
lassale,2022-02-17,2,586,1648,92
lassale,2022-02-18,2,110,309,48
lassale,2022-02-21,1,94,325,330
lassale,2022-02-22,5,128,402,37
lassale,2022-02-23,9,607,2556,558
lassale,2022-02-24,1,30,169,45
lassale,2022-02-26,3,305,1005,79
lassale,2022-02-27,4,5725,24117,382
lassale,2022-02-28,5,187,671,104
lassale,2022-03-01,5,153,699,35
lassale,2022-03-02,5,593,2833,107
lassale,2022-03-04,2,205,705,102
lassale,2022-03-06,7,327,1250,266
lassale,2022-03-07,16,10951,31154,1480
lassale,2022-03-08,4,358,1173,73
lassale,2022-03-09,5,7299,54126,526
lassale,2022-03-10,6,592,2592,84
lassale,2022-03-11,7,375,1771,62
lassale,2022-03-12,4,209,743,53
lassale,2022-03-13,5,265,1591,79
le_pen,2022-01-03,52,10332,30202,2687
le_pen,2022-01-04,62,11790,35854,3442
le_pen,2022-01-05,55,10432,28984,2068
le_pen,2022-01-06,64,7865,22883,2066
le_pen,2022-01-07,87,10751,30862,2610
le_pen,2022-01-08,90,9067,29427,2268
le_pen,2022-01-09,93,9361,26870,1928
le_pen,2022-01-10,70,6870,18693,1486
le_pen,2022-01-11,65,10009,29440,2874
le_pen,2022-01-12,96,8182,22353,2153
le_pen,2022-01-13,54,4057,11631,1119
le_pen,2022-01-14,99,9038,22711,1468
le_pen,2022-01-15,133,11044,35120,5091
le_pen,2022-01-16,128,9801,26060,2934
le_pen,2022-01-17,68,5288,14241,1036
le_pen,2022-01-18,84,7159,17734,1281
le_pen,2022-01-19,113,9809,27339,2909
le_pen,2022-01-20,166,12564,38295,2539
le_pen,2022-01-21,98,7041,27314,2021
le_pen,2022-01-22,114,7605,28434,2078
le_pen,2022-01-23,147,9163,24110,2852
le_pen,2022-01-24,79,7840,21244,1770
le_pen,2022-01-25,102,8183,20316,1445
le_pen,2022-01-26,92,6938,18837,1659
le_pen,2022-01-27,108,7572,19659,1352
le_pen,2022-01-28,154,17640,53770,3852
le_pen,2022-01-29,175,16166,48623,4551
le_pen,2022-01-30,99,5371,14684,945
le_pen,2022-01-31,167,13454,40700,6356
le_pen,2022-02-01,125,10672,29183,2350
le_pen,2022-02-02,204,15735,46564,3789
le_pen,2022-02-03,81,5035,13806,1503
le_pen,2022-02-04,150,12613,38251,4375
le_pen,2022-02-05,286,24353,68159,7258
le_pen,2022-02-06,146,10233,32610,2583
le_pen,2022-02-07,137,9183,24231,2046
le_pen,2022-02-08,91,8488,23361,2390
le_pen,2022-02-09,111,8269,23684,1938
le_pen,2022-02-10,132,11445,31361,2506
le_pen,2022-02-11,158,13237,38783,2842
le_pen,2022-02-12,129,10189,28762,1974
le_pen,2022-02-13,186,10165,27448,2017
le_pen,2022-02-14,114,9714,28130,2758
le_pen,2022-02-15,153,13700,39354,3419
le_pen,2022-02-16,270,21130,51465,4448
le_pen,2022-02-17,129,8955,23672,2033
le_pen,2022-02-18,155,12619,36324,2824
le_pen,2022-02-19,100,6659,19165,1565
le_pen,2022-02-20,129,10061,25005,1779
le_pen,2022-02-21,136,13837,37326,3445
le_pen,2022-02-22,187,18136,47120,4142
le_pen,2022-02-23,105,9959,26589,3040
le_pen,2022-02-24,147,12558,35079,6019
le_pen,2022-02-25,100,8667,24627,3016
le_pen,2022-02-26,100,4498,12297,921
le_pen,2022-02-27,77,5258,13925,1315
le_pen,2022-02-28,92,6986,19069,1968
le_pen,2022-03-01,217,21247,63212,8488
le_pen,2022-03-02,114,10855,35595,3668
le_pen,2022-03-03,199,19308,54619,5242
le_pen,2022-03-04,107,10962,29154,2498
le_pen,2022-03-05,156,13153,34940,2606
le_pen,2022-03-06,117,5464,14410,1635
le_pen,2022-03-07,140,11801,31009,3549
le_pen,2022-03-08,136,9943,27026,3103
le_pen,2022-03-09,105,9244,23704,1939
le_pen,2022-03-10,109,10596,31583,3800
le_pen,2022-03-11,177,15393,46489,5059
le_pen,2022-03-12,98,7307,20211,1983
le_pen,2022-03-13,140,11184,30401,3686
melenchon,2022-01-03,278,39677,127203,11873
melenchon,2022-01-04,169,24414,78923,5727
melenchon,2022-01-05,112,15383,48792,3085
melenchon,2022-01-06,93,9020,24335,1736
melenchon,2022-01-07,88,9741,24682,2037
melenchon,2022-01-08,93,10674,25743,1747
melenchon,2022-01-09,220,28923,89973,6684
melenchon,2022-01-10,161,16999,39509,3851
melenchon,2022-01-11,134,16510,45344,4333
melenchon,2022-01-12,171,16484,44580,3329
melenchon,2022-01-13,232,26530,70936,4345
melenchon,2022-01-14,91,9645,27412,1995
melenchon,2022-01-15,76,8033,20016,1741
melenchon,2022-01-16,379,43236,127939,8837
melenchon,2022-01-17,132,14097,38380,2957
melenchon,2022-01-18,104,11533,27163,1663
melenchon,2022-01-19,225,19224,47823,3361
melenchon,2022-01-20,107,10176,26059,2161
melenchon,2022-01-21,185,20474,54960,4272
melenchon,2022-01-22,114,9197,24951,1300
melenchon,2022-01-23,182,14910,43016,4527
melenchon,2022-01-24,204,24765,70074,5067
melenchon,2022-01-25,125,12905,35814,3508
melenchon,2022-01-26,94,10662,29550,1783
melenchon,2022-01-27,443,56928,193319,28901
melenchon,2022-01-28,288,30339,98847,12071
melenchon,2022-01-29,112,15030,46130,3409
melenchon,2022-01-30,234,27306,80361,5654
melenchon,2022-01-31,122,16189,42142,2774
melenchon,2022-02-01,173,22454,63052,6019
melenchon,2022-02-02,172,21343,62464,3944
melenchon,2022-02-03,195,23268,57444,3579
melenchon,2022-02-04,123,11341,29708,1939
melenchon,2022-02-05,95,9235,25165,1381
melenchon,2022-02-06,218,23865,67104,5757
melenchon,2022-02-07,100,11758,39979,1900
melenchon,2022-02-08,150,13111,32991,2815
melenchon,2022-02-09,104,10635,27178,1821
melenchon,2022-02-10,387,51538,157381,8907
melenchon,2022-02-11,189,21007,60912,3106
melenchon,2022-02-12,124,15489,46001,2502
melenchon,2022-02-13,323,40193,106279,5422
melenchon,2022-02-14,123,16921,45679,2739
melenchon,2022-02-15,197,26707,71706,4876
melenchon,2022-02-16,173,25053,78089,4317
melenchon,2022-02-17,382,43935,134855,7902
