candidate,day,tweet_count,retweet_count,like_count,reply_count
lassale,2022-03-11,1,133,407,12
le_pen,2022-01-03,14,8360,24591,1760
le_pen,2022-01-04,15,9907,31019,3199
le_pen,2022-01-05,15,8815,24987,1745
le_pen,2022-01-06,13,5968,18667,1667
le_pen,2022-01-07,26,7192,19978,1806
le_pen,2022-01-08,14,5085,16799,1496
le_pen,2022-01-09,28,6608,18587,1408
le_pen,2022-01-10,15,4370,12495,1087
le_pen,2022-01-11,13,7907,23408,2364
le_pen,2022-01-12,16,4678,13727,1239
le_pen,2022-01-13,6,1993,6806,603
le_pen,2022-01-14,27,5172,13207,791
le_pen,2022-01-15,13,5862,17330,3715
le_pen,2022-01-16,15,5442,13979,1868
le_pen,2022-01-17,12,2863,7600,528
le_pen,2022-01-18,19,4074,9734,754
le_pen,2022-01-19,22,5616,15881,1720
le_pen,2022-01-20,15,5004,16965,1086
le_pen,2022-01-21,8,3236,11859,1428
le_pen,2022-01-22,10,3684,15387,1405
le_pen,2022-01-23,13,4238,11167,1176
le_pen,2022-01-24,14,5081,14480,1145
le_pen,2022-01-25,13,4133,10249,855
le_pen,2022-01-26,16,3630,9191,853
le_pen,2022-01-27,17,3745,9491,604
le_pen,2022-01-28,28,12492,38682,2740
le_pen,2022-01-29,29,10388,32392,3448
le_pen,2022-01-30,8,1923,4745,448
le_pen,2022-01-31,27,6451,18399,4882
le_pen,2022-02-01,21,5013,13477,1094
le_pen,2022-02-02,22,7115,19470,1705
le_pen,2022-02-03,8,1834,4737,684
le_pen,2022-02-04,20,7277,21375,2732
le_pen,2022-02-05,45,12738,33104,4351
le_pen,2022-02-06,18,5673,17712,1541
le_pen,2022-02-07,14,3731,9342,915
le_pen,2022-02-08,16,5523,15118,1153
le_pen,2022-02-09,16,4115,11478,943
le_pen,2022-02-10,17,6595,17494,1444
le_pen,2022-02-11,28,6823,21185,1879
le_pen,2022-02-12,18,6014,16600,1501
le_pen,2022-02-13,14,3538,8740,678
le_pen,2022-02-14,12,4313,13554,1584
le_pen,2022-02-15,23,6669,20437,1837
le_pen,2022-02-16,46,11201,28094,2332
le_pen,2022-02-17,19,4621,11226,967
le_pen,2022-02-18,29,6651,20254,1597
le_pen,2022-02-19,9,2705,8249,590
le_pen,2022-02-20,19,5370,12169,1075
le_pen,2022-02-21,17,8044,22915,2512
le_pen,2022-02-22,28,10081,25705,2165
le_pen,2022-02-23,10,5910,15695,2150
le_pen,2022-02-24,20,7591,21290,2337
le_pen,2022-02-25,14,4429,12143,1610
le_pen,2022-02-26,4,912,1695,110
le_pen,2022-02-27,7,2745,6947,798
le_pen,2022-02-28,12,3590,8343,767
le_pen,2022-03-01,37,13861,41641,4172
le_pen,2022-03-02,25,6473,21379,2534
le_pen,2022-03-03,41,12929,36037,3678
le_pen,2022-03-04,5,6601,17411,1454
le_pen,2022-03-05,29,7920,19614,1808
